Kwai Chung,Spring,Summer,Fall,Winter
2005,608.939872509653,512.879738719763,506.46771834795805,13.527622233343997
2006,348.25955458916997,225.10254833139194,220.345721659078,196.9420228974391
2007,378.868927881634,131.59166475607196,438.30777788409006,194.0038329417241
2008,681.612214762998,222.55391986404706,403.27474932676495,161.89245458944006
2009,543.7880961085559,483.76545446475296,442.41840700043605,342.719493453141
2010,556.8051328586761,474.91119953686785,400.90691066740106,334.89036812460796
2011,793.1617180076141,354.889878268178,324.92134934598704,278.4056633804058
2012,600.4542890635549,887.1929153473918,392.5579968711261,209.79280006040898
2013,639.146959996687,218.78543025482801,404.924089109783,158.444105796325
2014,440.02960208918,524.7275614595743,473.44814538363795,232.74084612643892
2015,448.64959630748507,544.0889273230379,529.8073043669799,129.42098618159793
2016,592.30445202262,385.774848356959,304.84333033885696,252.38770545818107
2017,908.4576653779478,285.809715363877,732.3487233450674,107.93051556798898
