Kwun Tong,Spring,Summer,Fall,Winter
2003,514.3009749174989,201.63617702940297,327.4233492502749,82.12497655541998
2004,323.5696067772349,565.0732337463481,424.1355933153839,279.88031587948996
2005,515.683299882538,376.01002693091215,451.28069139132094,195.8101489829441
2006,567.680705315459,288.4409941089861,318.8874690587711,236.26850918087908
2007,519.5995493300119,71.115851968444,386.72704610243414,145.845085011168
2008,711.7795320984844,178.07420779366302,363.623977440668,151.59693775673102
2009,498.25061393423505,406.68768021488995,486.5558667759771,314.584752493842
2010,510.90809301058886,367.7090112182199,208.26992855083202,326.61871871804095
2011,728.1021044388699,208.277989254254,317.037828613634,143.96170740626698
2012,630.14808851843,568.602565672588,366.0397504602879,175.24802836057205
2013,633.510997908414,119.57077782806411,360.2022815001389,215.388312079083
2014,443.43580965515594,437.527813796287,436.57560482118,244.75654861609289
2015,466.15061322120295,451.99167021899285,485.58349148469705,145.72482135802792
2016,694.6506376498029,328.3323244393841,224.63562137509405,222.34725405423598
2017,678.2748184637181,216.251446169717,471.3628123949501,60.100967734512
